id_dieta,nome_dieta,descricao,objetivo,restricoes,alimentos_permitidos,alimentos_proibidos,calorias_diarias,macro_proteinas_g,macro_carboidratos_g,macro_gorduras_g,descricao_macro,duracao_dias,nivel_dificuldade
24,Fugiat Voluptates,Sequi quasi cupiditate maxime ipsam earum nemo.,Ea enim ipsam neque eligendi ea.,Sem glúten,Veritatis beatae ratione minima ducimus veritatis et vel.,Ad dignissimos eos earum illum voluptas.,2457,111,53,158,"Baixo carboidrato, alta proteína e gordura",60,Moderado
25,Recusandae Modi,Facilis quidem alias minus iste cum.,Aut veniam sed.,Sem alimentos industrializados,Ullam ducimus praesentium assumenda dolorem delectus voluptate hic.,Dolorum dolores omnis accusamus quae.,2168,137,204,70,Rica em proteínas e vegetais,30,Moderado
26,Magni Occaecati,Minus veritatis quidem velit modi iste possimus excepturi laborum explicabo similique.,Consequuntur cum nulla.,Sem carnes,Architecto dicta a voluptatum accusantium vel animi enim inventore.,Tempora sapiente ab architecto sint natus maxime dolore voluptatibus.,2172,170,132,129,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Fácil
27,Officiis Molestias,Impedit rerum soluta earum alias natus optio consequuntur dolorum quisquam perspiciatis iure et sequi.,Recusandae exercitationem accusantium.,Sem alimentos processados,Explicabo iusto voluptate nobis sapiente magni quaerat officia.,Expedita rerum nisi ex quos delectus mollitia.,2896,51,67,152,"Alta gordura, baixa carb, moderada proteína",60,Fácil
28,Sunt Quod,Neque officia commodi omnis veniam at error suscipit animi iure.,Repellendus deleniti dolor eius.,Sem alimentos industrializados,Vero quo temporibus quas expedita impedit cupiditate ut quidem.,Aliquam quas esse modi sed officiis atque.,2348,119,64,138,"Alta ingestão de carboidratos e fibras, moderada proteína",180,Moderado
29,Vero Totam,Molestias numquam totam eum expedita voluptatem velit non quis natus nostrum incidunt.,Cupiditate minima voluptatibus ipsam id.,Sem carnes,Itaque blanditiis iure dignissimos provident voluptatem.,Tenetur nisi fuga dolor neque praesentium nisi amet fugit.,1566,88,286,47,Rica em proteínas e vegetais,120,Fácil
30,Laboriosam Repudiandae,Occaecati possimus atque veritatis beatae placeat.,Est nobis doloribus consequuntur voluptate officia.,Sem carnes,Sunt vitae sint error excepturi non excepturi molestiae.,Vero totam impedit veritatis quos officiis quisquam quos.,2633,142,27,120,"Equilíbrio entre macros, rica em fibras",60,Moderado
31,Qui Necessitatibus,Pariatur sapiente a excepturi ipsam porro in laborum ipsam quia nihil doloremque.,Voluptate cum fugit eum harum atque.,Sem carnes,Laudantium itaque ratione fugit quae odio ipsa veritatis ad.,Ipsa beatae voluptatem earum necessitatibus consectetur tempora consectetur dolores earum.,2824,104,166,129,Rica em proteínas e vegetais,180,Difícil
32,Quia Explicabo,Ab eaque mollitia nemo fugiat nulla debitis atque iste.,Ullam quidem suscipit suscipit vero officia.,Sem alimentos processados,Voluptate aperiam adipisci repellat dolore libero magni.,Amet eius ducimus delectus maxime ab mollitia iusto.,2483,185,318,59,"Alta ingestão de carboidratos e fibras, moderada proteína",90,Fácil
33,Quia Dignissimos,Tempora quasi officia alias doloribus hic ducimus nesciunt incidunt nemo vero ut.,Aspernatur omnis soluta quidem.,Sem laticínios,Dolor minus blanditiis provident corporis beatae velit.,Nam dolores laboriosam officia officia tempora dicta quasi nisi rem.,2944,81,175,84,"Alta ingestão de carboidratos e fibras, moderada proteína",30,Moderado
34,Officiis Consectetur,Quaerat quibusdam veniam et quisquam consectetur impedit at numquam culpa sequi.,In quas dolorum aliquid.,Sem carnes,Cumque quasi maxime quam quo occaecati dicta architecto consectetur.,Corrupti non numquam et.,1952,143,63,147,"Baixo carboidrato, alta proteína e gordura",120,Moderado
35,Ullam Cupiditate,Eaque eligendi eaque aliquam nulla voluptatibus sunt numquam.,Facere corrupti dolores culpa.,Sem glúten,Soluta eos consectetur possimus eos numquam iste inventore ipsa.,Vel dolore fugit fuga quos placeat aliquam repudiandae vitae repellendus.,1730,87,377,39,"Baixo carboidrato, alta proteína e gordura",180,Fácil
36,Sint Ut,Omnis nihil dolore sint ipsa sint in quaerat voluptas rerum dicta ipsam voluptatum.,Facilis quas neque officia labore.,Sem glúten,Corporis quam tempore maxime eum maiores.,Soluta dolor vel dicta fugit.,2451,106,185,113,"Baixo carboidrato, alta proteína e gordura",120,Fácil
37,Blanditiis Fuga,Deleniti neque suscipit maiores dolorum a modi eos minus ab culpa.,Odit assumenda temporibus qui iusto corporis.,Sem laticínios,Perspiciatis nulla a possimus nihil illum iste eaque explicabo fugiat quaerat.,Dolor maiores animi amet tenetur blanditiis ad impedit.,2940,133,23,81,"Equilíbrio entre macros, rica em fibras",120,Moderado
38,Minima Ipsum,Distinctio perspiciatis a iste ea ratione dolore neque.,Repellendus esse velit.,Baixo consumo de carboidratos,Delectus dicta delectus fuga vitae pariatur illo consequuntur impedit veritatis.,Tenetur consequuntur ex id nisi incidunt aperiam facilis exercitationem.,2531,132,96,122,"Alta ingestão de carboidratos e fibras, moderada proteína",90,Fácil
39,Animi Minus,Magnam nam inventore quisquam rem a cumque quod illum deserunt necessitatibus nobis.,Saepe nobis natus.,Sem carnes,Doloremque nemo temporibus adipisci quibusdam cupiditate.,Natus numquam nulla tenetur consequuntur illo.,2733,97,64,129,"Alta gordura, baixa carb, moderada proteína",60,Fácil
40,Possimus Magnam,Illum ab optio laborum voluptatibus quisquam odit.,Velit non itaque labore.,Sem laticínios,Exercitationem optio recusandae error molestias magni tempora corrupti.,Officiis aliquam vel vitae nesciunt.,2983,134,44,43,"Equilíbrio entre macros, sem alimentos processados",120,Fácil
41,Atque Officia,Omnis amet fugit repellat nihil eius non iusto amet id.,Distinctio aperiam laudantium eaque pariatur.,Sem carnes,Vitae hic repellendus in recusandae rerum hic.,Sapiente odio ullam pariatur mollitia.,2140,167,375,106,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Difícil
42,Culpa Non,Esse hic quasi eveniet magnam possimus praesentium ex.,Reiciendis officiis illum.,Sem grãos e açúcares,Officia esse itaque labore atque a eaque.,Ut rerum commodi similique ex iure.,2773,53,259,160,"Equilíbrio entre macros, sem alimentos processados",90,Fácil
43,Asperiores Voluptatibus,Dolores cumque sapiente facere corporis similique ab corrupti eligendi neque qui minima minima.,Repellat accusantium perferendis.,Sem glúten,Aliquam laboriosam quam inventore quas eum cupiditate voluptates.,Veritatis ut quas laborum quia omnis assumenda esse.,1891,154,257,172,"Alta ingestão de carboidratos e fibras, moderada proteína",90,Fácil
44,Ipsam Iste,Debitis debitis nostrum officiis deleniti reprehenderit laudantium id quia perferendis perspiciatis quam iure.,Sapiente ab placeat optio aliquid.,Sem alimentos industrializados,Atque itaque alias deleniti debitis aliquam dolorem optio magnam esse quaerat.,Ea ducimus vitae quas cum quis consequatur.,1771,116,364,60,Rica em proteínas e vegetais,120,Fácil
45,Saepe Earum,Laborum ipsum doloremque expedita accusantium itaque numquam amet nam soluta id porro amet.,Eveniet excepturi voluptate inventore pariatur.,Sem glúten,Autem reiciendis officiis voluptatibus reprehenderit recusandae quam odit quidem.,Veritatis illo dolorum reprehenderit animi.,2399,77,254,171,Rica em proteínas e vegetais,180,Difícil
46,Dicta Reprehenderit,Facere cupiditate nam eos occaecati soluta veritatis illum distinctio nulla.,Dolorem provident eligendi ducimus.,Sem alimentos industrializados,Enim saepe porro laborum harum eveniet tempora est.,Cumque dolores mollitia harum eligendi quas.,2036,147,202,73,"Equilíbrio entre macros, sem alimentos processados",90,Fácil
47,Voluptas Aliquam,Numquam reiciendis possimus repellat quo natus.,Id eligendi impedit dignissimos voluptatibus ullam.,Sem carnes,Nostrum ad esse reiciendis numquam magni quo quo.,Provident ipsum tempora beatae explicabo corporis tenetur.,1982,118,157,97,"Alta ingestão de carboidratos e fibras, moderada proteína",45,Fácil
48,Nam Ducimus,Nemo accusantium rem aut consectetur fugit a aperiam iure.,Quisquam veniam omnis officia.,Sem alimentos industrializados,Aspernatur optio nemo iste veniam.,Assumenda modi sint perspiciatis voluptatibus excepturi nam pariatur laudantium eveniet.,2280,152,243,123,"Baixo carboidrato, alta proteína e gordura",30,Moderado
49,Labore Odio,Recusandae dolorum a unde atque ipsa dolorum delectus exercitationem sunt fuga aliquid ipsam.,Ipsam minima quaerat dolorem repellendus.,Sem laticínios,Commodi natus incidunt accusamus dicta est hic doloribus sed aliquid.,Quae culpa mollitia debitis mollitia.,2044,105,110,97,"Alta gordura, baixa carb, moderada proteína",120,Moderado
50,In Quia,Aut labore soluta nulla nesciunt similique fugit modi exercitationem quidem doloremque accusantium.,Magni officiis recusandae dolorem facere.,Baixo consumo de carboidratos,Quidem quos alias temporibus tenetur vitae.,Maiores deleniti ex voluptas cupiditate doloribus mollitia cumque.,2752,175,238,175,Foco em carboidratos complexos,180,Moderado
51,Minima Exercitationem,Consectetur fugiat neque quibusdam ratione fugit est dolorum nobis beatae.,Commodi quisquam voluptate esse est occaecati.,Sem laticínios,Nobis quisquam consequatur qui voluptas itaque voluptatum sapiente fugit esse.,At corrupti numquam facere reiciendis et possimus magnam eaque adipisci.,1721,70,277,56,"Equilíbrio entre macros, sem alimentos processados",90,Fácil
52,Asperiores Neque,Totam at rerum quia numquam sed delectus pariatur alias officiis.,Temporibus cum nihil.,Sem alimentos industrializados,Non aliquam libero est consequuntur enim inventore.,Cum fuga dolorum esse iure quidem.,1781,63,351,74,"Alta ingestão de carboidratos e fibras, moderada proteína",90,Moderado
53,Culpa Sint,Itaque dolore suscipit animi repudiandae blanditiis aperiam sapiente.,Numquam soluta aliquam amet.,Sem laticínios,Provident non porro doloribus.,Maiores deserunt laboriosam rerum tenetur nemo ex accusantium mollitia incidunt.,1552,128,78,152,Foco em carboidratos complexos,180,Moderado
54,Reprehenderit Saepe,Quas voluptatem consequuntur ducimus voluptatibus delectus illo reprehenderit architecto doloremque libero eveniet ullam.,Nobis quos ipsum odio numquam quae.,Sem grãos e açúcares,Error ipsa fugiat excepturi omnis explicabo magnam a rerum quisquam.,Autem enim rem sit tenetur.,2522,64,362,80,"Equilíbrio entre macros, sem alimentos processados",120,Difícil
55,Architecto Quod,Alias eveniet atque nostrum velit blanditiis molestiae quam odit voluptas deleniti.,Magni rerum voluptas.,Sem glúten,Blanditiis modi ad necessitatibus et dolore cupiditate sapiente dignissimos similique.,Eum odio molestias cum earum.,1968,109,307,148,Foco em carboidratos complexos,180,Moderado
56,Illum A,Ex corrupti molestias doloribus doloribus ut officiis distinctio.,Placeat cupiditate odio natus.,Baixo consumo de carboidratos,Velit atque praesentium mollitia iusto placeat rem itaque laudantium.,Commodi vel sunt tenetur sed in quia quasi sunt optio.,1580,152,177,160,"Alta gordura, baixa carb, moderada proteína",30,Fácil
57,Beatae Quidem,Dolorem architecto minus nam deserunt autem vitae impedit.,Ex minima ut quidem ab.,Sem glúten,Eius dicta delectus eius incidunt sed ipsum necessitatibus sunt.,Ipsum natus veritatis quas beatae quisquam eveniet facilis.,2749,124,307,144,"Alta gordura, baixa carb, moderada proteína",60,Moderado
58,Mollitia Totam,Temporibus unde odit iure similique eum.,Pariatur quasi reprehenderit.,Sem glúten,Quibusdam dolores qui alias placeat corporis debitis possimus modi.,Earum sunt iste sunt aut deserunt.,1981,77,116,127,Rica em proteínas e vegetais,180,Difícil
59,Vitae Ad,In earum asperiores minus modi tenetur quaerat minus libero eos dicta.,Vero natus doloribus recusandae.,Sem grãos e açúcares,Distinctio commodi iusto tenetur nihil iste expedita.,Accusamus necessitatibus nobis ab fugit eos impedit nemo.,2498,112,232,49,"Alta ingestão de carboidratos e fibras, moderada proteína",90,Moderado
60,Deleniti Nesciunt,Perspiciatis accusamus aspernatur odit odio perspiciatis libero.,Perferendis aut quaerat molestias.,Sem laticínios,Aperiam natus at similique quam voluptatem.,At assumenda natus accusamus adipisci quod.,2139,54,362,82,"Equilíbrio entre macros, rica em fibras",60,Fácil
61,Voluptatum Quaerat,Animi ex molestias fugit dolor quae quis.,Quod adipisci sed.,Sem grãos e açúcares,Soluta at quidem quae quisquam odio aspernatur corrupti iusto autem.,Dicta facilis officia dolores asperiores maxime provident sapiente.,2953,89,303,174,Rica em proteínas e vegetais,90,Difícil
62,Quis Consectetur,Tempore qui similique optio veritatis quas officiis distinctio.,Ad corporis nulla perferendis laboriosam sapiente.,Sem alimentos industrializados,Consequuntur dolorem quae pariatur vero saepe impedit rem corporis.,Natus soluta hic beatae illum adipisci magni cupiditate fugit doloremque.,2364,87,98,156,"Baixo carboidrato, alta proteína e gordura",30,Moderado
63,Laboriosam Ratione,Voluptatibus laudantium iure minus in mollitia porro a.,Quasi ab optio soluta ipsam suscipit.,Sem carnes,Doloremque natus dolores blanditiis ab excepturi atque.,Quia corrupti expedita fugiat officia dolorem.,1693,98,326,70,Rica em proteínas e vegetais,180,Difícil
64,Animi Nemo,Perferendis explicabo aut adipisci fugiat voluptatem.,Itaque autem eos repellat nobis.,Baixo consumo de carboidratos,Hic sint reiciendis iure dolores molestias.,Explicabo quis excepturi laboriosam vitae repudiandae perspiciatis pariatur.,2431,124,226,106,Foco em carboidratos complexos,45,Fácil
65,Ratione Sed,Cum id molestias laboriosam modi architecto nemo ab asperiores tempora facere iste officia.,Molestiae molestiae pariatur rerum iure.,Sem glúten,Deserunt at voluptas maiores odio cum voluptatem quisquam qui.,Officiis nemo nulla repellat rem officia cum.,2429,150,170,88,"Alta gordura, baixa carb, moderada proteína",30,Moderado
66,Consequatur Animi,Consequatur tenetur ipsa facilis facere a fugiat voluptates suscipit assumenda distinctio.,Hic voluptates sed ex reprehenderit.,Sem carnes,Eligendi sunt corrupti odio odit dolor odit.,Tempore culpa fuga repudiandae esse soluta.,1635,126,257,33,Foco em carboidratos complexos,60,Moderado
67,Minima Laborum,Veniam distinctio quod unde ratione numquam numquam labore libero reprehenderit.,Distinctio possimus nemo molestias perferendis.,Sem alimentos industrializados,Molestiae ipsum cumque distinctio dolorum dolor.,Fuga praesentium accusantium quasi hic qui architecto esse.,2821,98,31,72,"Alta gordura, baixa carb, moderada proteína",60,Fácil
68,Aperiam Iste,Aut consequatur suscipit veritatis praesentium quaerat a magnam consectetur officia.,Atque ducimus quo iste veniam.,Sem glúten,Delectus doloribus laboriosam totam quae impedit numquam necessitatibus quidem.,Fugiat cumque tempora esse.,2321,52,368,33,"Equilíbrio entre macros, sem alimentos processados",90,Moderado
69,Exercitationem Cupiditate,Inventore illo officia officia rem repellendus consequuntur porro sapiente quia deserunt.,Eaque ab nisi corporis expedita delectus.,Sem carnes,Dolore cumque error sed quas debitis totam provident fuga odio.,Nisi dignissimos explicabo quidem aut optio.,1523,88,317,166,Foco em carboidratos complexos,30,Moderado
70,Recusandae Natus,Iusto nisi harum impedit officiis quod illum.,Voluptatum sit vero autem.,Sem glúten,Ullam fugiat occaecati vitae commodi dolor nam soluta.,Enim iusto facilis non enim et.,1669,193,231,142,"Baixo carboidrato, alta proteína e gordura",90,Fácil
71,Neque Saepe,Provident quod mollitia velit corporis porro ab quam ea.,Eos fugit veritatis assumenda quaerat.,Baixo consumo de carboidratos,Fuga quas nostrum sed distinctio molestiae impedit.,Ab aperiam ipsam temporibus culpa nemo ea animi omnis ducimus.,1922,131,260,96,"Alta ingestão de carboidratos e fibras, moderada proteína",90,Fácil
72,Harum Cum,Quisquam a occaecati alias ducimus culpa.,Facere ratione exercitationem tenetur voluptate.,Sem carnes,Fuga ad cumque inventore explicabo nostrum hic rem.,Consectetur minima reiciendis error consequatur totam.,1515,115,149,112,Rica em proteínas e vegetais,90,Difícil
73,Officiis Repudiandae,Sequi provident amet illum temporibus est at quis alias.,Aliquid labore soluta rerum natus.,Sem alimentos industrializados,Neque magni non placeat quaerat inventore dolorum quisquam maxime tempora.,Unde aperiam quae fuga deleniti.,1830,110,178,122,Rica em proteínas e vegetais,90,Moderado
74,Excepturi Similique,Alias iure minima fugiat sint iste saepe esse.,Odit inventore alias rem asperiores.,Sem alimentos industrializados,Dolorem cupiditate quidem aliquam voluptatum sint a soluta quam rerum.,Dignissimos exercitationem molestias eveniet aliquid dolorum voluptates quo.,2594,168,131,128,"Alta gordura, baixa carb, moderada proteína",120,Fácil
75,Optio Reiciendis,Mollitia ducimus consequuntur quos nesciunt perspiciatis quas.,Eveniet inventore eos explicabo officiis.,Sem alimentos industrializados,Sequi consequatur maxime voluptatibus repudiandae recusandae in iure nesciunt explicabo.,Error quisquam eveniet soluta autem ducimus exercitationem saepe similique ratione.,2843,80,353,55,"Alta ingestão de carboidratos e fibras, moderada proteína",30,Difícil
76,Dolorem Facere,Mollitia accusamus officiis ipsum nemo odio quasi dicta occaecati sint unde nihil voluptas.,Rem labore optio nostrum.,Sem carnes,Vel repellendus hic a.,Exercitationem numquam temporibus corrupti quasi sit placeat vel.,2551,95,393,111,"Equilíbrio entre macros, rica em fibras",180,Fácil
77,Enim Praesentium,Nemo omnis blanditiis velit in inventore illum dolores corporis facilis sed id ad.,Explicabo repellat nihil debitis expedita sed.,Sem grãos e açúcares,Odit quia est labore quo accusamus.,Unde distinctio ducimus nihil amet.,2200,191,76,122,"Baixo carboidrato, alta proteína e gordura",45,Fácil
78,Eum Rerum,Voluptatibus impedit quam suscipit soluta modi nesciunt quasi non sit reprehenderit quia quibusdam.,Qui laborum dignissimos saepe nihil necessitatibus.,Sem grãos e açúcares,Eum recusandae voluptatum esse perferendis aut.,Commodi expedita repellendus pariatur reiciendis deserunt voluptate quia eum explicabo.,1741,57,113,54,"Alta ingestão de carboidratos e fibras, moderada proteína",45,Fácil
79,Placeat Optio,Omnis et numquam nam inventore impedit dolorum ut repellat maxime placeat beatae iusto.,Dolore veniam sint nostrum tenetur.,Sem grãos e açúcares,Assumenda accusamus tempora aperiam suscipit beatae accusantium sunt esse hic.,Impedit nesciunt nulla dolorum sed beatae ex nisi quis.,2370,78,234,80,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Fácil
80,Nisi Beatae,Debitis sit asperiores deleniti deserunt sunt distinctio dolorum omnis aperiam explicabo natus modi.,Doloremque unde voluptates itaque quibusdam sit.,Sem laticínios,Esse sint explicabo ad provident nihil.,Cum iure similique quam dolore.,1656,130,76,81,Rica em proteínas e vegetais,30,Fácil
81,Quia Sapiente,Sit nemo cumque non dolores nihil debitis.,Doloremque repellat quas dolor suscipit quisquam.,Sem glúten,Ex nam possimus doloribus perspiciatis ad perspiciatis sequi beatae illo.,Pariatur beatae provident voluptate nihil ipsum tenetur.,2323,166,239,153,"Alta gordura, baixa carb, moderada proteína",180,Difícil
82,Quibusdam Alias,Beatae perferendis quod id incidunt et veritatis accusamus voluptatibus possimus.,Minima nostrum exercitationem qui quas.,Sem carnes,Deserunt possimus labore asperiores vel sapiente eos maxime dolorem sit nisi.,Veniam impedit aliquam earum voluptate assumenda omnis eligendi ipsum molestias.,2431,195,391,150,"Alta ingestão de carboidratos e fibras, moderada proteína",120,Difícil
83,Magni Pariatur,Voluptatibus illum unde exercitationem quis magni nemo qui.,Dignissimos ratione dolores.,Baixo consumo de carboidratos,Asperiores sequi amet quod minima similique.,Dignissimos saepe laborum fugiat esse dolores.,1537,131,87,167,"Alta ingestão de carboidratos e fibras, moderada proteína",60,Fácil
84,Occaecati Delectus,Quam harum corrupti accusamus possimus vero.,Tempora officiis consequatur.,Sem carnes,Repudiandae totam exercitationem sapiente alias reiciendis adipisci.,Voluptatum hic nihil perspiciatis optio.,2125,118,208,115,"Alta gordura, baixa carb, moderada proteína",180,Moderado
85,Error Molestias,A maiores sunt vitae illo reprehenderit.,Cupiditate deleniti magnam qui.,Baixo consumo de carboidratos,Numquam dolorem ullam ea eos dolor error.,Incidunt temporibus odit cupiditate modi.,2891,155,110,91,"Alta ingestão de carboidratos e fibras, moderada proteína",120,Fácil
86,Soluta Voluptates,A odio delectus aliquam voluptate pariatur soluta.,Dignissimos eaque sapiente iusto accusamus voluptatum.,Baixo consumo de carboidratos,Ex a placeat at similique.,Quia quaerat accusamus fugit veniam.,1697,77,376,170,"Equilíbrio entre macros, rica em fibras",120,Fácil
87,Nihil Nisi,Corporis nam similique recusandae nihil sequi necessitatibus beatae iusto aperiam ullam.,Tenetur facilis ipsa numquam rerum.,Sem laticínios,Nam officiis minima laborum reiciendis temporibus dignissimos provident laborum dignissimos.,Repellendus vero architecto minima nemo.,2044,146,114,174,"Alta gordura, baixa carb, moderada proteína",60,Fácil
88,Voluptate Officiis,Ducimus possimus dicta dignissimos modi eligendi.,Atque labore ipsam ut corrupti quo.,Sem grãos e açúcares,Non voluptas molestias quas rem optio.,Iusto odio laudantium nulla maiores eaque porro aperiam.,2257,159,153,154,Rica em proteínas e vegetais,180,Fácil
