id,data_coleta,localizacao,tipo_ambiente,temperatura,umidade,ph_agua,nivel_poluição,tipo_poluento,descricao_vegetacao,fauna_observada,solos_caracteristica,descricao_impacto,responsavel_coleta,observacoes
19,2025-04-02,"""-24.3599, -64.5446""",solo,25.2,45,,Moderado,Pesticidas,In ipsam temporibus deserunt quibusdam.,Ad debitis odio voluptas.,"""Arenoso, pouco fértil""",Perferendis praesentium repudiandae.,Vitor Vargas,Voluptatem at quibusdam quis maxime quasi consequuntur velit reprehenderit.
20,2025-07-23,"""-19.8116, -41.7908""",ar,28.2,47,,Baixo,,Dolores vero in neque.,Tempore nostrum.,"""Arenoso, pouco fértil""",Molestiae nisi impedit facere.,Ester Silva,Sit est a quo.
21,2025-04-19,"""-8.5082, -67.0186""",ar,21.7,45,,Baixo,,Cupiditate dolorem reprehenderit recusandae.,Et accusamus officia.,"""Argiloso, boa drenagem""",Sunt neque nemo provident voluptatibus quo ducimus sint.,Mariane Araújo,Corporis impedit ipsa quo voluptatem.
22,2025-03-27,"""-26.0496, -42.2509""",ar,17.0,43,,Crítico,Plástico,Corporis animi tempora illum.,Ad autem.,"""Argiloso, boa drenagem""",Similique esse placeat illo blanditiis voluptates eos.,Vitória Siqueira,A saepe dolorem cupiditate accusantium.
23,2025-05-24,"""-11.3078, -54.9392""",água,26.3,89,6.8,Alto,Plástico,Assumenda modi quaerat.,Excepturi voluptatem non.,"""Orgânico, rico em nutrientes""",Provident modi doloribus ipsum vel id.,Isabelly Viana,Sed amet facere eum repellat nobis quam odit.
24,2025-03-07,"""-29.3945, -58.7329""",ar,33.1,76,,Alto,Plástico,Qui corporis iste.,Dolores commodi.,"""Orgânico, rico em nutrientes""",Enim et aliquam.,Stella da Rocha,Harum quisquam esse quas aliquam natus eaque voluptate sed.
25,2025-07-14,"""-12.1037, -52.312""",água,32.6,57,6.8,Moderado,Plástico,Magnam quae omnis cum.,Perspiciatis in laborum.,"""Arenoso, pouco fértil""",Aliquam nesciunt quod recusandae amet.,Sra. Maria Luísa Rios,Non nam alias harum perferendis optio autem.
26,2025-09-10,"""-9.461, -39.5247""",água,26.6,78,8.5,Crítico,Plástico,Distinctio suscipit recusandae.,Nam voluptate.,"""Rochoso, baixa permeabilidade""",Eos tempore quibusdam enim quidem dicta.,Alexia Cavalcanti,Provident explicabo natus totam incidunt est fugiat ipsa.
27,2025-07-24,"""3.4572, -55.5808""",solo,20.8,89,,Alto,Metais pesados,Soluta doloremque at atque debitis.,Molestias maiores modi corrupti aspernatur.,"""Argiloso, boa drenagem""",Repudiandae voluptatem rem inventore occaecati cumque.,Milena Aparecida,Possimus pariatur aliquam expedita dolorum asperiores error harum sequi.
28,2025-06-30,"""-27.4546, -52.0765""",solo,19.8,54,,Moderado,Metais pesados,Voluptates minima pariatur minus excepturi.,Voluptatem minus autem possimus.,"""Orgânico, rico em nutrientes""",Ipsam doloremque nobis occaecati aperiam.,Sarah Sales,Repellendus molestiae ab porro quisquam neque iure.
29,2024-10-30,"""-32.7258, -59.3789""",ar,19.0,41,,Alto,Esgoto,Error temporibus eaque hic.,Quibusdam sunt cumque.,"""Orgânico, rico em nutrientes""",Quia in officia iure aut.,Manuela Machado,Quia minima magnam vitae corporis et sit ipsam.
30,2025-03-09,"""1.3581, -62.1869""",ar,26.3,86,,Crítico,Metais pesados,Vitae nobis accusamus.,Nostrum sed itaque.,"""Orgânico, rico em nutrientes""",Exercitationem tenetur corporis pariatur.,Pedro Henrique Sousa,Eos tenetur impedit ipsa qui magni.
31,2024-12-20,"""3.0792, -70.1481""",ar,20.1,56,,Crítico,Pesticidas,Explicabo veritatis voluptatem fugiat cum tenetur.,A minus doloribus facere occaecati.,"""Orgânico, rico em nutrientes""",Accusantium quod iste aspernatur architecto.,Gabriel Campos,Impedit vel qui eligendi provident soluta.
32,2025-02-19,"""-29.3909, -62.7326""",água,15.5,89,7.9,Crítico,Plástico,Autem architecto culpa.,Doloribus porro fuga tempore corporis.,"""Orgânico, rico em nutrientes""",Consequatur dolor dolor quidem aliquid voluptas officiis.,Anthony Fernandes,Rerum id consequuntur quod id nobis voluptate.
33,2024-12-28,"""-7.9218, -67.7881""",água,24.0,90,8.1,Baixo,,Sit fugit ea alias quisquam.,Eos doloribus dolore quisquam.,"""Rochoso, baixa permeabilidade""",Delectus provident laboriosam ut nihil.,Isaque Cunha,Eaque cupiditate amet eum libero deleniti.
34,2025-05-19,"""-19.723, -38.9187""",água,20.7,55,8.2,Crítico,Pesticidas,Provident labore dolores ex.,Beatae exercitationem qui quos ducimus.,"""Rochoso, baixa permeabilidade""",Placeat incidunt vero dolores maiores.,João Montenegro,Sint explicabo velit iusto.
35,2025-09-10,"""4.0858, -56.0237""",ar,21.0,51,,Alto,Pesticidas,Vero dolore explicabo.,Sunt facere.,"""Rochoso, baixa permeabilidade""",Repudiandae velit cum ipsam illo totam vitae.,Allana Abreu,Nesciunt sed voluptatem nulla facere.
36,2024-11-15,"""-19.7627, -36.3673""",solo,33.6,58,,Baixo,,Et rerum earum.,Cum doloribus maxime qui.,"""Rochoso, baixa permeabilidade""",Quisquam quidem distinctio deleniti mollitia.,Maria Garcia,Cumque deleniti ipsam quam laborum dolorem reiciendis.
37,2025-09-03,"""-16.0224, -72.8224""",ar,30.4,78,,Moderado,Plástico,Impedit modi illum dolorem.,Deserunt ratione adipisci quisquam optio.,"""Orgânico, rico em nutrientes""",Esse commodi dolorum impedit quibusdam odio optio beatae.,Maria Fernanda Pires,Quibusdam quae voluptas dolores.
38,2025-09-15,"""-2.5371, -36.7113""",solo,33.2,46,,Baixo,,Error quis quis nemo soluta.,Dignissimos animi repudiandae.,"""Rochoso, baixa permeabilidade""",Quasi eaque magni iste harum ipsam.,Dra. Maria Vitória Monteiro,Consectetur perspiciatis occaecati adipisci vero ducimus fuga natus commodi.
39,2024-11-24,"""-12.0478, -68.0314""",solo,15.3,47,,Moderado,Plástico,Aperiam corporis quae fugiat asperiores.,Modi reiciendis rem.,"""Arenoso, pouco fértil""",Fuga optio ipsum deleniti sapiente consequuntur quidem.,Luiz Miguel Oliveira,Beatae itaque nulla quod possimus cum ea.
40,2025-07-10,"""-29.9743, -70.8608""",ar,23.3,81,,Baixo,,Quam inventore saepe nisi itaque dolorem.,Commodi nostrum possimus atque dolore.,"""Argiloso, boa drenagem""",Reiciendis voluptatem alias illum.,Sr. Pedro Lucas Gonçalves,Doloremque consequuntur repellat totam beatae repellat officiis fugit.
41,2025-09-18,"""1.998, -35.8529""",ar,32.1,86,,Crítico,Químicos industriais,Illo repellendus autem fuga soluta sint.,Libero voluptatem incidunt.,"""Orgânico, rico em nutrientes""",Quo autem doloremque similique incidunt sed.,Sr. Vinicius Costela,Reiciendis sed voluptate quis aliquam atque.
42,2025-07-03,"""2.4574, -42.9843""",água,24.4,52,7.0,Moderado,Metais pesados,Ipsa vitae repudiandae debitis optio.,Molestias natus eum.,"""Orgânico, rico em nutrientes""",Tempora voluptatibus necessitatibus eos ducimus.,Dra. Brenda da Rosa,Facere aliquam doloremque reprehenderit exercitationem ea.
43,2025-07-01,"""-25.489, -52.2751""",ar,24.3,47,,Crítico,Metais pesados,Magnam minima quidem.,Cum natus neque earum.,"""Rochoso, baixa permeabilidade""",Eveniet enim non aliquid nulla optio.,Renan Ribeiro,Nihil dicta vitae magnam sapiente est amet ut.
44,2025-05-09,"""2.8454, -65.5837""",água,16.0,73,6.5,Moderado,Pesticidas,Dicta natus ad perspiciatis.,Repellendus hic fuga laudantium ut.,"""Orgânico, rico em nutrientes""",Expedita illum expedita in deleniti accusantium enim.,Sra. Lívia Mendonça,Quibusdam repellendus quasi voluptas illo.
45,2025-05-16,"""4.9364, -35.2518""",água,33.7,63,6.7,Baixo,,Adipisci iusto magni modi eligendi dignissimos.,Non expedita asperiores perferendis.,"""Arenoso, pouco fértil""",Non a explicabo sint.,Sr. Ryan Cavalcante,Animi voluptates totam temporibus quisquam doloremque.
46,2025-04-01,"""-2.4608, -70.7225""",solo,31.8,54,,Baixo,,Dolorum voluptates esse nobis iste beatae.,Excepturi nostrum delectus.,"""Orgânico, rico em nutrientes""",Accusamus porro aperiam reiciendis qui dolore labore.,Fernanda Gonçalves,Perspiciatis optio ducimus libero architecto quis beatae facere quos.
47,2025-10-13,"""-11.239, -62.1165""",ar,34.1,68,,Moderado,Esgoto,Ipsum enim cumque.,Praesentium velit incidunt.,"""Orgânico, rico em nutrientes""",Nam non et.,Matheus Cardoso,Dolore necessitatibus magnam nostrum inventore eius vero.
48,2024-12-18,"""-8.9252, -51.5603""",solo,34.9,81,,Moderado,Plástico,Maiores numquam quisquam.,Cumque commodi similique consequatur officiis.,"""Argiloso, boa drenagem""",Veritatis error debitis error alias harum.,Dr. Asafe Oliveira,Assumenda odio laboriosam error ex pariatur porro rem.
49,2024-11-13,"""-8.256, -43.6402""",água,16.5,81,7.0,Crítico,Metais pesados,Odio a ipsum maiores ex.,Quisquam a.,"""Argiloso, boa drenagem""",Pariatur perferendis doloribus ratione.,Olívia Nogueira,Accusamus velit harum explicabo aliquam ipsa rerum nulla atque.
50,2025-10-09,"""2.0055, -71.7812""",solo,24.5,90,,Alto,Pesticidas,Quibusdam animi ducimus.,Pariatur distinctio voluptatem placeat dolorum.,"""Arenoso, pouco fértil""",Magnam minima quo temporibus corporis id.,Amanda da Rosa,Deleniti optio autem recusandae impedit.
51,2025-06-10,"""-24.7893, -36.0125""",ar,16.6,56,,Moderado,Plástico,Voluptate provident nesciunt perferendis vitae.,Voluptatum consequatur alias illum ex.,"""Argiloso, boa drenagem""",Nulla iure illo pariatur perferendis assumenda.,Dr. Noah Vieira,Reprehenderit pariatur ea a corporis distinctio ipsa.
52,2025-04-03,"""-21.1792, -57.1137""",água,20.9,87,6.2,Alto,Plástico,Debitis architecto quae at.,Aliquam exercitationem aut nam omnis.,"""Argiloso, boa drenagem""",Id est veniam esse dolorum.,Laís Sá,Sapiente aliquam saepe doloremque quo officia.
53,2025-02-23,"""-29.746, -51.0692""",ar,31.3,57,,Moderado,Esgoto,Nulla in porro totam.,Soluta fugiat voluptatum.,"""Arenoso, pouco fértil""",Voluptatibus repellendus eum nobis neque.,João Vitor Siqueira,Tempora beatae fugiat similique ut porro omnis quia.
54,2024-12-06,"""1.4515, -59.7697""",ar,30.6,72,,Crítico,Esgoto,Aut repudiandae velit molestiae officia earum.,Molestiae non.,"""Arenoso, pouco fértil""",Accusamus eius doloremque.,Eloah Viana,Eos omnis ipsa magnam distinctio amet quis.
55,2024-10-27,"""-0.9746, -67.0155""",solo,27.8,80,,Crítico,Químicos industriais,Eaque soluta sequi quae quasi.,Vitae quibusdam dolorem.,"""Rochoso, baixa permeabilidade""",Qui repudiandae neque nulla.,Natália Fogaça,Ipsa vel blanditiis autem libero eaque.
56,2025-06-01,"""-28.6475, -52.7324""",ar,26.5,81,,Baixo,,Perferendis unde asperiores enim.,Tempora molestias.,"""Arenoso, pouco fértil""",Libero dignissimos illum.,Otto Sá,Reiciendis ducimus nesciunt facilis fugit quia.
57,2025-09-11,"""-22.8667, -34.9988""",ar,20.1,70,,Baixo,,Labore nobis nulla asperiores.,Quibusdam praesentium quam nobis nesciunt.,"""Arenoso, pouco fértil""",Veritatis laborum animi deserunt.,João Lucas Rezende,Voluptatem ipsum voluptate rerum culpa.
58,2025-01-24,"""-28.3217, -51.2811""",solo,21.1,45,,Alto,Químicos industriais,Sapiente accusamus porro corrupti tempore odio.,Nemo rem dignissimos.,"""Argiloso, boa drenagem""",Nesciunt ad nisi eligendi occaecati aspernatur.,Dante Vargas,Consequatur impedit repellendus quo.
59,2025-03-12,"""-11.4312, -47.0775""",ar,27.2,60,,Moderado,Pesticidas,Accusamus praesentium inventore dicta inventore.,Officiis qui ducimus quisquam.,"""Orgânico, rico em nutrientes""",Dolores placeat totam quam ad.,Maitê Rezende,Explicabo vero ut in tempore vel iste fugiat.
60,2025-08-04,"""-7.3545, -40.4195""",ar,34.0,60,,Moderado,Esgoto,Hic alias amet veniam iusto voluptatum.,Illo nostrum nesciunt labore est.,"""Rochoso, baixa permeabilidade""",Cumque consequatur voluptas aspernatur consequatur voluptate tenetur.,Igor Brito,Explicabo impedit similique voluptas ab cupiditate pariatur ut assumenda.
61,2025-03-22,"""-29.2424, -56.9198""",água,22.5,72,7.2,Alto,Químicos industriais,Repudiandae sit temporibus porro.,Omnis cupiditate rerum.,"""Orgânico, rico em nutrientes""",Illo eligendi rem fuga.,Sr. Benjamim Cassiano,Tenetur nulla laborum debitis ab occaecati eveniet.
62,2025-01-20,"""-12.302, -66.1149""",ar,20.3,88,,Crítico,Químicos industriais,Soluta quis dolores.,Suscipit amet.,"""Rochoso, baixa permeabilidade""",Assumenda ipsum voluptas suscipit odit quos inventore.,Ana Sophia Fernandes,Dolorum itaque corporis sed doloribus incidunt in.
63,2025-02-27,"""2.2387, -52.6284""",solo,26.5,47,,Moderado,Metais pesados,Soluta eaque nesciunt corrupti voluptatem.,Fugiat architecto odio est.,"""Rochoso, baixa permeabilidade""",Cupiditate hic repudiandae aspernatur culpa molestiae.,Stella Martins,Fugit nobis voluptatem eum amet perferendis deleniti.
64,2025-10-08,"""-22.6433, -57.2922""",ar,24.2,57,,Alto,Pesticidas,Asperiores officiis ab sit ducimus.,Aliquid laudantium facere.,"""Orgânico, rico em nutrientes""",In dolores excepturi illum ipsum.,Ana Sophia Almeida,Est neque corrupti exercitationem nisi eveniet vitae harum unde.
65,2025-02-17,"""-0.2925, -40.1585""",água,20.0,65,6.2,Baixo,,Porro laudantium nemo nisi asperiores.,Autem quo laboriosam.,"""Argiloso, boa drenagem""",Velit minus occaecati magni aperiam.,Rael Nunes,Pariatur sint fuga ipsa.
66,2025-05-21,"""-16.7707, -71.9668""",água,20.5,62,8.5,Alto,Químicos industriais,Facilis dicta adipisci ipsum quos.,Quibusdam eos natus in excepturi.,"""Arenoso, pouco fértil""",Dolorem accusamus ex animi aliquam modi officiis.,Brenda da Rocha,Eius incidunt repellat illo earum optio.
67,2025-09-07,"""1.0221, -68.8766""",solo,31.9,74,,Moderado,Pesticidas,A vero ex porro.,Quis aspernatur eius.,"""Rochoso, baixa permeabilidade""",Temporibus aut iure qui laborum saepe aspernatur.,Dante Nascimento,Illo odit cupiditate optio commodi.
68,2025-07-11,"""3.5246, -46.0722""",água,20.0,71,6.8,Alto,Plástico,Earum quia blanditiis ducimus quam doloribus.,Explicabo error quidem quidem.,"""Argiloso, boa drenagem""",Perspiciatis amet exercitationem dolore vitae.,Enrico Aragão,Facere accusantium eligendi quam excepturi sunt quod placeat expedita.
69,2024-10-15,"""-27.4491, -35.4456""",água,30.7,52,6.3,Alto,Esgoto,Assumenda amet minus atque repellat neque.,Voluptates quod quasi.,"""Argiloso, boa drenagem""",Est enim enim odio consequuntur perferendis quisquam facilis.,Agatha Nunes,Adipisci voluptatibus deleniti quasi amet blanditiis voluptates.
70,2024-12-14,"""-3.9838, -65.869""",solo,33.1,67,,Alto,Esgoto,Dolores autem doloremque.,Ducimus omnis quisquam dolore laboriosam.,"""Argiloso, boa drenagem""",Quasi hic quasi voluptas similique.,Olívia Fernandes,Modi facere libero illum harum.
71,2025-08-23,"""-13.6757, -40.2729""",água,30.1,53,6.1,Moderado,Metais pesados,Occaecati iusto animi aspernatur debitis pariatur.,Ex maiores ex id.,"""Rochoso, baixa permeabilidade""",Unde est ullam accusamus.,Luiz Gustavo Vieira,Unde dolor inventore optio harum nesciunt labore itaque.
72,2024-11-14,"""-27.436, -59.2586""",ar,31.4,83,,Moderado,Plástico,Laborum aspernatur rem rem qui.,Omnis in.,"""Orgânico, rico em nutrientes""",Voluptatibus libero dolor dignissimos nulla accusantium repudiandae.,José Pedro da Cruz,Nulla distinctio pariatur sed in in atque architecto quis.
73,2025-07-25,"""-22.9477, -41.1675""",água,32.4,80,7.0,Baixo,,Repellat enim sequi beatae quam.,Consectetur corrupti animi asperiores.,"""Argiloso, boa drenagem""",Numquam mollitia quo recusandae explicabo nesciunt repellendus voluptate.,Hadassa Monteiro,Unde consequuntur pariatur ipsam.
74,2025-01-20,"""-6.8077, -48.9395""",água,26.1,50,6.9,Moderado,Metais pesados,Consequuntur debitis minima amet error voluptates.,Iste aliquam impedit quia suscipit.,"""Orgânico, rico em nutrientes""",Veritatis corrupti quibusdam excepturi soluta.,Sofia Cavalcanti,Illum necessitatibus corrupti eum.
75,2025-07-19,"""-7.2647, -47.6618""",ar,20.8,78,,Baixo,,Veritatis esse alias in.,Officia beatae.,"""Orgânico, rico em nutrientes""",Porro officiis temporibus tempora blanditiis provident esse.,Emanuel Fogaça,Accusantium numquam est earum rem modi porro excepturi.
76,2025-03-22,"""-10.2977, -51.6877""",ar,18.6,81,,Moderado,Plástico,Praesentium impedit laborum consequatur.,Voluptate debitis voluptatem explicabo.,"""Arenoso, pouco fértil""",In nihil doloribus eum ipsa.,Leonardo Moraes,Consequatur illo deleniti ad dolore.
77,2025-04-15,"""-2.9453, -70.5353""",solo,22.9,58,,Moderado,Metais pesados,Laborum omnis omnis.,Doloremque voluptatum.,"""Rochoso, baixa permeabilidade""",Doloribus vero aliquid nisi soluta at.,Enzo Gabriel Casa Grande,Dolore consectetur tempore illo.
78,2025-08-18,"""-17.1127, -58.0887""",água,15.0,86,8.1,Alto,Plástico,Rerum veniam doloribus.,Eligendi perspiciatis ut.,"""Argiloso, boa drenagem""",Tempora porro nesciunt vero tempore saepe.,Gabrielly Santos,Culpa doloribus voluptatem dolorum maxime facilis.
79,2025-02-10,"""-7.6358, -63.6766""",ar,33.1,43,,Alto,Esgoto,Alias facilis odio culpa.,Earum vero quo.,"""Rochoso, baixa permeabilidade""",Deserunt quis quibusdam autem nihil.,Stella Vieira,Corrupti soluta saepe corporis iste.
80,2025-02-05,"""-7.7156, -71.6584""",água,15.1,58,7.4,Crítico,Metais pesados,Quos repellendus beatae nobis.,Maiores officiis.,"""Orgânico, rico em nutrientes""",Eius nostrum quas laborum voluptatem tempora possimus officiis.,Sr. Benicio das Neves,Cupiditate et corrupti rem inventore natus aperiam dignissimos eius.
81,2025-09-09,"""-25.2458, -44.4593""",água,24.1,86,7.7,Crítico,Radioatividade,Occaecati nemo vel vel quis.,Enim dicta enim vero.,"""Arenoso, pouco fértil""",Commodi suscipit aperiam repudiandae accusantium officiis quidem incidunt.,Ana Vitória Vieira,Vel temporibus quia totam non error totam.
82,2024-11-03,"""3.7529, -66.9849""",água,28.9,43,8.1,Baixo,,Laborum culpa delectus odio hic.,Quidem nisi.,"""Arenoso, pouco fértil""",Alias molestiae explicabo.,Enzo Gabriel Rezende,Dolore soluta tempora consequatur doloribus enim corporis.
83,2025-05-14,"""-24.2413, -44.5821""",água,24.4,80,7.7,Alto,Químicos industriais,Delectus praesentium atque repellat nemo.,Deserunt magnam sunt.,"""Rochoso, baixa permeabilidade""",Suscipit animi distinctio minus.,Ana Laura Martins,Veritatis voluptates deleniti adipisci ullam iure sunt repellat.
84,2025-06-10,"""-6.8499, -65.3497""",água,20.6,59,6.5,Baixo,,Itaque nihil repellat nesciunt numquam.,Nostrum et optio.,"""Arenoso, pouco fértil""",Quaerat architecto sapiente.,Calebe Novaes,Ratione aperiam quos exercitationem provident.
85,2025-01-29,"""-6.9486, -34.0467""",ar,25.3,74,,Baixo,,Minima corporis qui ipsum.,Consequuntur quia.,"""Arenoso, pouco fértil""",Vel ipsum rem inventore.,Enzo Gabriel Brito,Aut ad facilis perferendis amet tempore at sapiente inventore.
86,2025-04-25,"""-11.6349, -63.3283""",solo,24.8,60,,Moderado,Pesticidas,Aperiam quia voluptates.,Libero culpa placeat voluptatibus.,"""Argiloso, boa drenagem""",Nisi alias ipsum fugiat itaque.,André Moura,Alias earum illo voluptatem hic nam dolorem.
87,2025-09-24,"""-22.8188, -69.9573""",água,16.6,42,8.4,Moderado,Esgoto,Quam harum minima cumque dolor.,Facere enim placeat dicta.,"""Arenoso, pouco fértil""",Inventore recusandae eligendi ducimus necessitatibus.,Dra. Ana Laura Ribeiro,Fugit voluptate molestias velit maxime error.
88,2024-11-23,"""-32.4755, -50.9112""",água,16.3,65,8.0,Crítico,Esgoto,Eum debitis vero dicta unde.,Illo accusantium aperiam.,"""Arenoso, pouco fértil""",Reiciendis et commodi quisquam temporibus ipsa porro repudiandae.,Ian Câmara,Cupiditate facilis similique officia blanditiis modi placeat optio libero.
89,2024-10-27,"""-3.2692, -45.8727""",solo,25.6,68,,Crítico,Metais pesados,Alias reprehenderit voluptas velit corporis reprehenderit.,Ullam sed.,"""Arenoso, pouco fértil""",Tempore molestias quaerat sunt tempore inventore corporis.,Alexandre Farias,Quo porro eum corrupti.
90,2025-01-31,"""-14.0963, -60.5166""",ar,34.3,43,,Alto,Pesticidas,Quaerat itaque adipisci repellat ex quidem.,Fuga quaerat nemo quisquam tempora.,"""Rochoso, baixa permeabilidade""",Tempore excepturi voluptatibus molestiae vero.,Joana Araújo,Quo nesciunt aliquam quo dolores.
91,2024-12-09,"""-11.4532, -58.9786""",água,24.7,69,7.0,Baixo,,Corrupti culpa dolore cumque nesciunt et.,Officia amet.,"""Argiloso, boa drenagem""",Nulla fugiat ad excepturi corrupti nihil.,Amanda Mendonça,Ea consequatur ullam nemo.
92,2025-03-19,"""-26.6113, -56.2999""",ar,28.3,71,,Baixo,,Id occaecati blanditiis maxime inventore.,Consequuntur iusto unde magni velit.,"""Arenoso, pouco fértil""",Ipsa reprehenderit omnis laudantium est repudiandae expedita.,Benício Borges,Rerum qui tempore tempore quis vitae suscipit perferendis rem.
93,2025-04-13,"""-20.3381, -59.2514""",ar,32.5,66,,Crítico,Esgoto,Temporibus neque explicabo suscipit tenetur.,Dolorum dicta accusamus placeat.,"""Rochoso, baixa permeabilidade""",Numquam rerum qui autem.,João Lucas da Costa,Assumenda velit placeat dicta voluptatem.
94,2025-01-17,"""-17.4548, -45.2555""",solo,18.0,43,,Baixo,,Quis officiis sequi necessitatibus illum autem.,Quia placeat consequatur exercitationem.,"""Arenoso, pouco fértil""",Aspernatur architecto quia commodi facilis minima temporibus.,Laura Gonçalves,Voluptas mollitia provident quod reprehenderit quia.
95,2025-02-06,"""-31.3377, -56.8131""",água,24.9,88,7.5,Moderado,Pesticidas,Illo ipsa neque distinctio fugit voluptate.,Eveniet delectus modi reprehenderit.,"""Arenoso, pouco fértil""",Voluptates dolore quisquam odit eos quidem.,Luiza Pires,Excepturi quam illum eligendi magni quisquam impedit.
